config_id,family,direction,params_json,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,profit_factor_r,total_r,max_drawdown_r,cost_r_per_trade,evidence,fee_per_fill,slippage_per_fill
cdfa32cc1457a7,ema_slope_pullback,short,"{""atr_window"": 14, ""ema_window"": 50, ""pullback_atr"": 0.5, ""rr"": 2.5, ""sl_atr"": 2.25, ""slope_lookback"": 3}",1,1.0,2.341228863964175,,2.341228863964175,inf,2.341228863964175,0.0,0.18725321654476357,insufficient,0.0005,0.0002
47afb3fcc64110,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 50, ""pullback_atr"": 0.5, ""rr"": 2.5, ""sl_atr"": 2.25, ""slope_lookback"": 3}",1,1.0,2.341228863964175,,2.341228863964175,inf,2.341228863964175,0.0,0.18725321654476357,insufficient,0.0005,0.0002
5230ae5d086cec,ema_slope_pullback,short,"{""atr_window"": 14, ""ema_window"": 50, ""pullback_atr"": 0.5, ""rr"": 2.5, ""sl_atr"": 1.75, ""slope_lookback"": 3}",1,1.0,2.295365582219645,,2.295365582219645,inf,2.295365582219645,0.0,0.24075413555755315,insufficient,0.0005,0.0002
a94ddbef0ec7d8,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 50, ""pullback_atr"": 0.5, ""rr"": 2.5, ""sl_atr"": 1.75, ""slope_lookback"": 3}",1,1.0,2.295365582219645,,2.295365582219645,inf,2.295365582219645,0.0,0.24075413555755315,insufficient,0.0005,0.0002
9e6720e5bd2420,ema_slope_pullback,long,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.25, ""rr"": 2.5, ""sl_atr"": 1.25, ""slope_lookback"": 3}",1,1.0,2.2945819595013117,,2.2945819595013117,inf,2.2945819595013117,0.0,0.2376408413878209,insufficient,0.0005,0.0002
2ff333a268bf7d,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.25, ""rr"": 2.5, ""sl_atr"": 1.25, ""slope_lookback"": 3}",1,1.0,2.2945819595013117,,2.2945819595013117,inf,2.2945819595013117,0.0,0.2376408413878209,insufficient,0.0005,0.0002
27a23f8059e079,ema_slope_pullback,long,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.25, ""rr"": 2.5, ""sl_atr"": 1.25, ""slope_lookback"": 6}",1,1.0,2.2945819595013117,,2.2945819595013117,inf,2.2945819595013117,0.0,0.2376408413878209,insufficient,0.0005,0.0002
e4098b7085427e,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.25, ""rr"": 2.5, ""sl_atr"": 1.25, ""slope_lookback"": 6}",1,1.0,2.2945819595013117,,2.2945819595013117,inf,2.2945819595013117,0.0,0.2376408413878209,insufficient,0.0005,0.0002
f5df460153d89a,ema_slope_pullback,long,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.25, ""rr"": 2.5, ""sl_atr"": 1.25, ""slope_lookback"": 12}",1,1.0,2.2945819595013117,,2.2945819595013117,inf,2.2945819595013117,0.0,0.2376408413878209,insufficient,0.0005,0.0002
4c9babdc043e6f,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.25, ""rr"": 2.5, ""sl_atr"": 1.25, ""slope_lookback"": 12}",1,1.0,2.2945819595013117,,2.2945819595013117,inf,2.2945819595013117,0.0,0.2376408413878209,insufficient,0.0005,0.0002
