config_id,family,direction,params_json,train_trades,train_expectancy_r,validation_trades,validation_expectancy_r,validation_winrate,validation_avg_win_r,validation_avg_loss_r,validation_profit_factor_r,validation_max_drawdown_r,validation_cost_r_per_trade,fold_id,train_start,train_end,validation_start,validation_end
671dce7450cb57,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",144,0.4571523098135903,20,-0.1409159953715792,0.3,2.351009325584688,-1.208883990067122,0.8334756962036001,9.6363842893124,0.22272048162562869,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
db48581cdd6ca6,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""weekday_filter"": ""weekdays""}",130,0.4294327178747495,20,0.09891151547008062,0.35,2.390382463885344,-1.1349574567535228,1.1340768866323325,4.672924566604549,0.14693665787647875,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
0c55c7bf7ab559,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.75, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",104,0.383788981399567,17,-0.3151637268304167,0.23529411764705882,2.3825571231308538,-1.1452316806646536,0.6401276805400763,10.132390913376007,0.16197164343675335,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
8be2d31b7ea385,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 77, ""rr"": 2.5, ""sl_atr"": 2.25}",170,0.3726261461236522,31,-0.1138595633507616,0.2903225806451613,2.365974871202472,-1.1283372865770844,0.8578098255377843,8.471008045271716,0.15165788201609623,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
2aa159ae472cd3,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 115, ""rr"": 2.5, ""sl_atr"": 2.25}",163,0.37022640263683376,29,0.07097251854119767,0.3448275862068966,2.3645127802190142,-1.1361539349734426,1.095344893269833,7.845549835923763,0.15842758650505867,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
adbb7fc904ce79,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""session"": ""new_york"", ""sl_atr"": 1.75}",104,0.36742523094132723,19,0.31139924360147053,0.42105263157894735,2.337846662202355,-1.1623806971991728,1.4627325815562926,4.572446541052842,0.18896773848779827,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
12d8ee1fc12170,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",133,0.36665558128496195,20,-0.09849799484486732,0.3,2.3837295532169906,-1.1623098011570918,0.8789381100745487,9.27149914052654,0.17322704126437782,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
66d66a4af706d8,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75, ""weekday_filter"": ""weekdays""}",146,0.36349758562943485,21,-0.16420352425531812,0.2857142857142857,2.360358149012233,-1.1740281935623387,0.8041913003299277,8.23712188473549,0.1915931263596684,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
a2032f069d6c96,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.75, ""sl_atr"": 1.75}",186,0.36210229746936307,30,-0.04798513620849155,0.3,2.5780069122733114,-1.1734102998435503,0.9415803708279198,8.088535223386575,0.2017374606533009,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
51ab427d075eee,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",167,0.3582325679986707,29,-0.0477251348065127,0.3103448275862069,2.365974871202472,-1.1338901375105557,0.9389698850178074,7.845549835923764,0.15620186827072247,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
