config_id,family,direction,params_json,macro_expectancy_r,micro_expectancy_r,median_expectancy_r,worst_fold_expectancy_r,validation_std_expectancy_r,positive_fold_ratio,total_validation_trades,folds_tested,total_folds,all_folds_tested,validation_mean_winrate,validation_mean_avg_win_r,validation_mean_avg_loss_r,validation_mean_profit_factor_r,validation_max_drawdown_r,cost_r_per_trade,robust_score
004397fcad66d5,rsi_extreme,short,"{""atr_window"": 14, ""level"": 25.0, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 7, ""sl_atr"": 1.75, ""weekday_filter"": ""mon_thu""}",0.04248208704383351,0.05962663384722407,0.0827277863997022,-0.7169106546627669,0.4152585430286857,0.8,80,5,5,True,0.35719780219780217,2.2803676148206673,-1.2013270578095312,1.1509075049010984,10.35238156538564,0.24212672359163778,-0.2584805178038427
0049a2440077d5,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 48, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.3675584392339875,-0.3145737939419687,-0.3194264077469671,-0.941522409022525,0.3738507831745237,0.2,161,5,5,True,0.22439316780780194,2.3350950110725366,-1.1499109349311585,0.638855307661739,26.82130884513514,0.15883962134392018,-0.6808171641545828
0049f87d094ef0,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25}",-0.23750793975425016,-0.1850862273574714,-0.21732693585679425,-0.7169505115416057,0.28844540208462266,0.4,137,5,5,True,0.30694432004776834,1.8420777341296528,-1.1569964772097585,0.7483421100217404,15.150913078539826,0.16261584267024132,-0.49606397412989484
00b24c966bb14c,bollinger_reentry,long,"{""atr_window"": 14, ""regime_ema"": 160, ""rr"": 1.5, ""sl_atr"": 2.25, ""std_mult"": 2.5, ""window"": 60}",0.1558602615989792,0.12331298446224348,0.007132415928246871,-0.043738307490681125,0.2624900170070936,0.6,54,5,5,True,0.538888888888889,1.3173601111373339,-1.1946833371440349,1.493869316770053,5.602973729754661,0.22759021051663747,-0.09738474690456762
01d77a83e90015,rsi_extreme,short,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 8, ""sl_atr"": 2.25}",-0.12333625326166112,-0.10243130376639203,-0.19212770105739815,-0.4040583615828152,0.23042875967397206,0.4,214,5,5,True,0.30685045706857056,2.301687018717704,-1.194228156157354,0.8824054804557828,24.261623429795627,0.22409425228025034,-0.32721729976531383
020b30497ca937,roc_momentum,long,"{""atr_window"": 14, ""regime_ema"": 100, ""roc_window"": 3, ""rr"": 2.0, ""sl_atr"": 1.75, ""threshold"": 0.0125}",-0.07002689656617518,-0.007108870416057818,0.07488401304388646,-0.6042100048659254,0.3072491519981282,0.6,286,5,5,True,0.3659873257346363,1.8540621238515513,-1.1807781703749605,0.9670089934405706,22.84325338143695,0.1765357384859593,-0.2683181392319059
02e7a375734d84,squeeze_breakout,long,"{""atr_window"": 14, ""bandwidth_lookback"": 192, ""bb_window"": 20, ""breakout_lookback"": 48, ""quantile"": 0.1, ""rr"": 1.5, ""sl_atr"": 2.0, ""squeeze_memory"": 12, ""std_mult"": 1.5}",-0.3296772230822569,-0.3442742007191944,-0.3038681831547726,-0.5644290574580828,0.1250624029716508,0.0,372,5,5,True,0.38270248427294273,1.226719602016963,-1.2937983754189593,0.597673488583077,51.36304422868553,0.3347333133818967,-0.49220842456808234
03c685cec5821b,bollinger_reentry,short,"{""atr_window"": 17, ""regime_ema"": 100, ""rr"": 2.0, ""sl_atr"": 1.25, ""std_mult"": 2.5, ""window"": 20}",-0.35802507870901007,-0.4103233797512197,-0.3427017769489204,-0.979919093988019,0.39535579712807856,0.2,115,5,5,True,0.33190601668862535,1.700790301433663,-1.385135644947256,0.6761907314783319,23.587241437416264,0.3777166512510211,-0.697369643939716
04110af8f9b8c5,macd_momentum,long,"{""atr_window"": 14, ""fast"": 12, ""regime_ema"": 0, ""rr"": 2.75, ""signal"": 5, ""sl_atr"": 2.25, ""slow"": 21}",-0.15129721470144575,-0.15443097068414074,-0.13615698574206098,-0.28200107384095413,0.08756663486270735,0.0,1166,5,5,True,0.2689686751617888,2.584695630943112,-1.1580737084738169,0.8241772338603017,78.12779626562138,0.1834754884335073,-0.2950805321327994
0584400d1a150d,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 96, ""rr"": 2.5, ""session"": ""london"", ""sl_atr"": 2.25, ""volume_mult"": 1.5, ""volume_window"": 96}",-0.3355596416531366,-0.30588817691619613,-0.32255994393196913,-0.5607038832689003,0.1644762232401616,0.0,259,5,5,True,0.25501240694789085,2.280708627204753,-1.2272069885429624,0.6450803037635244,30.347342743815457,0.24782416384343026,-0.5314644199398841
059ccb9c932963,ema_cross,short,"{""atr_window"": 14, ""fast_ema"": 34, ""rr"": 2.5, ""sl_atr"": 2.25, ""slow_ema"": 144}",-0.1042859754940993,-0.14839905262036912,-0.18591067173684117,-0.2759382798362865,0.15474856824855143,0.2,291,5,5,True,0.30906506942807804,2.3172787737073923,-1.188037773087059,0.8839288344355284,20.79291466258709,0.2170574341497516,-0.264660259618375
059f11a27d9d8c,macd_momentum,long,"{""atr_window"": 14, ""fast"": 12, ""regime_ema"": 200, ""rr"": 1.5, ""signal"": 9, ""sl_atr"": 2.25, ""slow"": 26}",-0.16284118072010118,-0.15743980557480947,-0.18295915000107993,-0.2717501264940487,0.0810670205939014,0.0,875,5,5,True,0.4172817626413849,1.2930849228155878,-1.2058900726187947,0.7741067406990865,63.657545988372966,0.23807042044660448,-0.3033746910170519
05ea2a8aa0473a,donchian_breakout,long,"{""atr_window"": 14, ""lookback"": 96, ""regime_ema"": 100, ""rr"": 2.0, ""sl_atr"": 2.25}",-0.2671201798065123,-0.24250352810478715,-0.23269333267770062,-0.4266878777690354,0.086228312519806,0.0,557,5,5,True,0.3100835606139765,1.80310919177152,-1.1966747296892664,0.6805814476323823,43.766755492785556,0.2219526509300994,-0.41023433606641535
064bc3b1534583,roc_momentum,long,"{""atr_window"": 14, ""regime_ema"": 200, ""roc_window"": 3, ""rr"": 1.5, ""sl_atr"": 2.25, ""threshold"": 0.01}",-0.09064273408778131,-0.08946453518877824,-0.0834167996276803,-0.34299693237832307,0.2121870872650304,0.2,391,5,5,True,0.4185709499078573,1.373813595260211,-1.1450897089265477,0.9141467832547313,24.737590635202306,0.15332513810608397,-0.2767362777202965
07aac86692e2d6,momentum_volume,long,"{""atr_window"": 14, ""roc_window"": 3, ""rr"": 2.0, ""sl_atr"": 2.25, ""threshold"": 0.005, ""volume_mult"": 1.5, ""volume_window"": 20}",-0.15324509286504087,-0.13579185677399755,-0.10370698514017843,-0.32589432199104224,0.1057595029857312,0.0,825,5,5,True,0.3372072602206987,1.8340946739924227,-1.1645251674148442,0.8088296773237691,56.479256252537446,0.19125939416967075,-0.30612484435790643
080399ebe92b71,zscore_reversion,short,"{""atr_window"": 14, ""rr"": 2.5, ""sl_atr"": 2.25, ""window"": 20, ""zscore_threshold"": 1.5}",-0.15358166576802806,-0.1628898773783658,-0.18404158379585944,-0.2873930128217407,0.10258718799718376,0.2,1322,5,5,True,0.29175976459431824,2.330444416663738,-1.1769453314693166,0.821257370771724,93.50839428358667,0.2003590442002899,-0.28487525976662
080adea2395c40,roc_momentum,long,"{""atr_window"": 14, ""regime_ema"": 0, ""roc_window"": 6, ""rr"": 2.0, ""sl_atr"": 2.25, ""threshold"": 0.01}",-0.21342161946599664,-0.15762595006294247,-0.11355046604331752,-0.6367955959728364,0.21969042334129837,0.0,627,5,5,True,0.30637689433968085,1.8698228366384904,-1.1330542027633408,0.7532511456883032,39.783363702047055,0.14973790206333343,-0.42326683113664587
08e2c573d29fea,roc_momentum,long,"{""atr_window"": 14, ""regime_ema"": 100, ""roc_window"": 3, ""rr"": 1.5, ""sl_atr"": 2.25, ""threshold"": 0.01}",-0.1314754050757333,-0.120811627519225,-0.08568089296633337,-0.44262800005698216,0.23230355487270382,0.2,434,5,5,True,0.40090868962140946,1.37529390018858,-1.1401535307530086,0.8601484841205405,35.375497416647,0.1504108862206111,-0.3276271825120852
093c9102e50817,macd_momentum,short,"{""atr_window"": 14, ""fast"": 12, ""regime_ema"": 0, ""rr"": 2.0, ""signal"": 9, ""sl_atr"": 2.25, ""slow"": 34}",-0.17720861670633356,-0.18375034411413174,-0.14785052161578524,-0.2641995050380512,0.062076126498486005,0.0,1487,5,5,True,0.33515526647145966,1.8201123758102244,-1.1840618063882296,0.776941177888115,90.9512054244863,0.21127581785702293,-0.30824667995557653
0ae4f0e0eae738,squeeze_breakout,long,"{""atr_window"": 14, ""bandwidth_lookback"": 96, ""bb_window"": 20, ""breakout_lookback"": 48, ""quantile"": 0.2, ""rr"": 1.5, ""session"": ""overlap"", ""sl_atr"": 2.0, ""squeeze_memory"": 12, ""std_mult"": 1.5}",-0.20120129309746013,-0.2183811952874348,-0.20893842793251993,-0.37535308894564395,0.11862686846684704,0.0,177,5,5,True,0.41610251117991054,1.2866041140298874,-1.2595652457430924,0.738294765023952,16.220195350828096,0.2754803433314549,-0.4015147273308836
0b85fef987478b,macd_momentum,long,"{""atr_window"": 14, ""fast"": 12, ""regime_ema"": 0, ""rr"": 2.5, ""signal"": 5, ""sl_atr"": 2.25, ""slow"": 21}",-0.17366311907826526,-0.17017327143915625,-0.17953999152622463,-0.2613599562519938,0.0644930782510414,0.0,1241,5,5,True,0.2825662258107676,2.332573558289519,-1.1609934193125706,0.7930653008264045,85.36072351197225,0.1866855354667305,-0.30590965820378596
0bde2cd01b95c3,squeeze_breakout,long,"{""atr_window"": 14, ""bandwidth_lookback"": 96, ""bb_window"": 40, ""breakout_lookback"": 48, ""quantile"": 0.2, ""rr"": 1.5, ""sl_atr"": 2.0, ""squeeze_memory"": 12, ""std_mult"": 2.0, ""weekday_filter"": ""weekdays""}",-0.18855283126798475,-0.20309745647351138,-0.17209905750971913,-0.3282701141644302,0.11788978127719228,0.2,362,5,5,True,0.4051378169645729,1.3069559869062886,-1.2060495081468658,0.750130202997328,34.2483813528791,0.23179875265233404,-0.3274977219065809
0c54f738d70b11,rsi_extreme,long,"{""atr_window"": 14, ""level"": 20.0, ""regime_ema"": 160, ""rr"": 2.5, ""rsi_window"": 7, ""sl_atr"": 2.25}",0.17468610712087904,0.04397401328474775,0.2539111223842503,-0.6143980012512756,0.47773429816599433,0.8,94,5,5,True,0.39005997098876355,2.2986194286028065,-1.1846526407266356,1.4062601037156586,17.429154022195597,0.2220054569092577,-0.15284770862878477
0c55c7bf7ab559,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.75, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.5755542164274055,-0.4799029078076231,-0.46154622664471223,-1.1361676275095487,0.32478666359056907,0.0,74,5,5,True,0.1620168067226891,2.3426479212228513,-1.1427141461532595,0.4251081036158501,14.481416395114412,0.16027637710788095,-0.9132808815560234
0cfa3c166ad231,zscore_reversion,short,"{""atr_window"": 14, ""rr"": 2.5, ""sl_atr"": 2.25, ""window"": 80, ""zscore_threshold"": 2.0}",-0.16469671501920063,-0.16147971033680666,-0.17867015266298628,-0.2087865199257168,0.04269755549287784,0.0,719,5,5,True,0.2899892134240421,2.3320401521315355,-1.1842951690397812,0.8047958420743434,40.245422866018,0.20812450660899198,-0.28604549276563956
0d088c33414292,rsi_extreme,short,"{""atr_window"": 14, ""level"": 25.0, ""regime_ema"": 100, ""rr"": 1.5, ""rsi_window"": 7, ""sl_atr"": 1.75}",-0.2580720038306553,-0.28637216541296634,-0.2845151159637958,-0.5415120672268737,0.22516100868649813,0.2,156,5,5,True,0.3950696864111498,1.2542413424222032,-1.2477214529064793,0.6989991429549137,22.45536586121547,0.28649505861860336,-0.4986525081739044
0d4dcae7ae9131,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75, ""volume_mult"": 1.5, ""volume_window"": 48}",-0.3088056051089116,-0.27905681656406806,-0.2504385938426829,-0.5103222054886644,0.1313144991582675,0.0,567,5,5,True,0.2725162287981133,2.2372925912324284,-1.2616388254736388,0.6700870639649376,50.64348960282333,0.28929659335014735,-0.4744628546880454
0e199fe04cac78,rsi_momentum,short,"{""atr_window"": 14, ""regime_ema"": 200, ""rr"": 2.0, ""rsi_window"": 14, ""sl_atr"": 2.25, ""threshold"": 50.0}",-0.14145052900350122,-0.13218892720228342,-0.1603088922823555,-0.21502115385607612,0.06516889752963712,0.0,782,5,5,True,0.3471924195389663,1.8073659569134262,-1.1776181904223062,0.8191558072542083,38.16177185608215,0.21215739717737803,-0.27403497776831975
0e819617f793aa,rsi_extreme,short,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 100, ""rr"": 2.0, ""rsi_window"": 7, ""sl_atr"": 1.75}",-0.14551549644838607,-0.15810192553450178,-0.1446659979157392,-0.3531998293980554,0.14812447535335507,0.2,368,5,5,True,0.36879712081767363,1.754244506107718,-1.2576694983108225,0.8293050616520091,32.03152630136118,0.2841378437138915,-0.2995777341250636
0e8713b75bea49,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 7, ""expansion_mult"": 1.5, ""lookback"": 48, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.24680030744869058,-0.1717840555887473,-0.1449398519297566,-0.9163871008197549,0.38910642936736084,0.4,253,5,5,True,0.261057881773399,2.3242876272969903,-1.1553181769449072,0.7703774627852285,29.261118567203685,0.17864737881740828,-0.5170201887990378
